CustomerID,FullName,Gender,Age,City,Country
C001,Sipho Smit,male,33.0,Pietermaritzburg,South Africa
C002,Mpho Singh,MALE,23.0,Benoni,South Africa
C003,Zanele Zulu,M,23.0,East London,South Africa
C004,Sakhile Mthembu,female,19.0,Midrand,South Africa
C005,Mthulisi Williams,f,32.0,Stellenbosch,South Africa
C006,Lerato Radebe,F,62.0,Paarl,South Africa
C007,Zainab Moloi,FEMALE,31.0,Polokwane,South Africa
C008,Tshepo Smith,m,24.0,Rustenburg,South Africa
C009,Fatima Dlamini,Male ,64.0,Stellenbosch,South Africa
C010,Musa Ngcobo, Female,53.0,Nelspruit,South Africa
C011,Nokufa Gcaleka,Male,63.0,Durban,South Africa
C012,David Pretorius,MALE,23.0,Pietermaritzburg,South Africa
C013,Musa Smit,female,47.0,Rustenburg,South Africa
C014,Sifiso Steyn,M,31.0,Kimberley,South Africa
C015,Francois Singh,F,64.0,Pietermaritzburg,South Africa
C016,Phiwayinkosi Smith,male,35.0,Midrand,South Africa
C017,Andile Mkhize,FEMALE,32.0,Cape Town,South Africa
C018,Ntombifikile Smit,m,22.0,East London,South Africa
C019,Neha Khoza,f,49.0,George,South Africa
C020,Patricia Fourie,MALE,26.0,Pietermaritzburg,South Africa
C021,,Female,55.0,George,South Africa
C022,,Female,50.0,Sandton,South Africa
C023,,Male,27.0,Bloemfontein,South Africa
C024,,Female,42.0,Boksburg,South Africa
C025,,Female,53.0,Johannesburg,South Africa
C026,,Male,59.0,Polokwane,South Africa
C027,,Male,28.0,Stellenbosch,South Africa
C028,,Male,29.0,Centurion,South Africa
C029,,Male,50.0,Boksburg,South Africa
C030,,Male,28.0,Midrand,South Africa
C031,,Male,19.0,Pretoria,South Africa
C032,,Female,21.0,Pietermaritzburg,South Africa
C033,,Male,22.0,Midrand,South Africa
C034,,Male,53.0,Bloemfontein,South Africa
C035,,Female,45.0,East London,South Africa
C036,Yusuf Jones,Male,60.0,,South Africa
C037,Sbongile Taylor,Female,25.0,,South Africa
C038,Kagiso de Villiers,Male,19.0,,South Africa
C039,Mduduzi Botha,Male,18.0,,South Africa
C040,David Ndlovu,Male,20.0,,South Africa
C041,Sakhile Coetzee,Male,35.0,,South Africa
C042,Mthulisi Mokoena,Male,64.0,,South Africa
C043,Ayesha Naidoo,Female,44.0,,South Africa
C044,Mpho Brown,Male,40.0,,South Africa
C045,Zodwa Mkhize,Female,61.0,,South Africa
C046,Sibusiso de Villiers,Male,24.0,,South Africa
C047,Robert Singh,Male,46.0,,South Africa
C048,Linda Smit,Female,47.0,,South Africa
C049,Mthokozisi Moodley,Male,24.0,,South Africa
C050,Tshepo Coetzee,Male,28.0,,South Africa
C051,Nokuthula van der Merwe,Female,999.0,Cape Town,South Africa
C052,Musa Nkosi,Male,-5.0,Kimberley,South Africa
C053,Nomvula Brown,Female,0.0,Midrand,South Africa
C054,Patricia Gcaleka,Female,-1.0,East London,South Africa
C055,Mduduzi Singh,Male,999.0,Polokwane,South Africa
C056,Bongani Shabalala,Male,-10.0,Centurion,South Africa
C057,Bongani Reddy,Male,0.0,Bloemfontein,South Africa
C058,Kagiso Coetzee,Male,999.0,Pretoria,South Africa
C059,Mduduzi Mthembu,Male,-5.0,Boksburg,South Africa
C060,Njabulo Shabalala,Male,150.0,Centurion,South Africa
C061,Fatima van der Merwe,Female,,Polokwane,South Africa
C062,Sanjay Jones,Male,,Nelspruit,South Africa
C063,Nokwanda Ndlovu,Female,,Stellenbosch,South Africa
C064,Kagiso Singh,Male,,Centurion,South Africa
C065,Helena Steyn,Female,,Pietermaritzburg,South Africa
C066,Nomvula Radebe,Female,46.0,Midrand,south africa
C067,Sbongile Nkosi,Female,60.0,Midrand,SOUTH AFRICA
C068,Elsie Mokoena,Female,34.0,Pretoria,South africa
C069,Nkosinathi Moloi,Male,35.0,Nelspruit,S.Africa
C070,Lungelo van der Merwe,Male,61.0,Kimberley,RSA
C071,Fatima Mkhize,Female,23.0,Paarl,south Africa
