CustomerID,FullName,Gender,Age,City,Country
C001,Sipho Smit,Male,35,Pietermaritzburg,South Africa
C002,Mpho Singh,Male,24,Benoni,South Africa
C003,Zanele Zulu,Female,25,East London,South Africa
C004,Sakhile Mthembu,Male,21,Midrand,South Africa
C005,Mthulisi Williams,Male,33,Stellenbosch,South Africa
C006,Lerato Radebe,Female,63,Paarl,South Africa
C007,Zainab Moloi,Female,33,Polokwane,South Africa
C008,Tshepo Smith,Male,25,Rustenburg,South Africa
C009,Fatima Dlamini,Female,66,Stellenbosch,South Africa
C010,Musa Ngcobo,Male,55,Nelspruit,South Africa
C011,Nokufa Gcaleka,Female,64,Rustenburg,South Africa
C012,David Pretorius,Male,24,Pietermaritzburg,South Africa
C013,Musa Smit,Male,48,Rustenburg,South Africa
C014,Sifiso Steyn,Male,32,Paarl,South Africa
C015,Francois Singh,Male,65,Pietermaritzburg,South Africa
C016,Phiwayinkosi Smith,Male,36,Midrand,South Africa
C017,Andile Mkhize,Male,34,Pretoria,South Africa
C018,Ntombifikile Smit,Female,23,East London,South Africa
C019,Neha Khoza,Female,51,George,South Africa
C020,Patricia Fourie,Female,28,Pietermaritzburg,South Africa
C021,Nobuhle Brown,Female,56,George,South Africa
C022,Sunita Mokoena,Female,52,Sandton,South Africa
C023,Bongani Modise,Male,29,Bloemfontein,South Africa
C024,Precious Smith,Female,44,Boksburg,South Africa
C025,Sbongile Fourie,Female,54,Cape Town,South Africa
C026,Mthulisi Smit,Male,61,Polokwane,South Africa
C027,Mohammed Brown,Male,30,Paarl,South Africa
C028,Sanjay Reddy,Male,31,Centurion,South Africa
C029,Yusuf Mhlongo,Male,52,Boksburg,South Africa
C030,Hendrik Lombard,Male,29,Midrand,South Africa
C031,Andile Govender,Male,21,Pretoria,South Africa
C032,Thandi Coetzee,Female,23,Paarl,South Africa
C033,Tshepo Govender,Male,23,Midrand,South Africa
C034,Johan Naidoo,Male,55,Bloemfontein,South Africa
C035,Sbongile Mthembu,Female,47,East London,South Africa
C036,Yusuf Jones,Male,61,Rustenburg,South Africa
C037,Sbongile Taylor,Female,26,Pietermaritzburg,South Africa
C038,Kagiso de Villiers,Male,21,Johannesburg,South Africa
C039,Mduduzi Botha,Male,20,Durban,South Africa
C040,David Ndlovu,Male,22,Polokwane,South Africa
C041,Sakhile Coetzee,Male,37,Sandton,South Africa
C042,Mthulisi Mokoena,Male,66,Pretoria,South Africa
C043,Ayesha Naidoo,Female,46,East London,South Africa
C044,Mpho Brown,Male,41,East London,South Africa
C045,Zodwa Mkhize,Female,63,Pretoria,South Africa
C046,Sibusiso de Villiers,Male,25,Pietermaritzburg,South Africa
C047,Robert Singh,Male,48,Port Elizabeth,South Africa
C048,Linda Smit,Female,49,Pietermaritzburg,South Africa
C049,Mthokozisi Moodley,Male,26,Cape Town,South Africa
C050,Tshepo Coetzee,Male,29,Paarl,South Africa
C051,Nokuthula van der Merwe,Female,45,Cape Town,South Africa
C052,Musa Nkosi,Male,44,Kimberley,South Africa
C053,Nomvula Brown,Female,63,Midrand,South Africa
C054,Patricia Gcaleka,Female,38,East London,South Africa
C055,Mduduzi Singh,Male,22,Polokwane,South Africa
C056,Bongani Shabalala,Male,50,Centurion,South Africa
C057,Bongani Reddy,Male,24,Bloemfontein,South Africa
C058,Kagiso Coetzee,Male,45,Sandton,South Africa
C059,Mduduzi Mthembu,Male,21,Boksburg,South Africa
C060,Njabulo Shabalala,Male,55,Centurion,South Africa
C061,Fatima van der Merwe,Female,61,Rustenburg,South Africa
C062,Sanjay Jones,Male,28,Rustenburg,South Africa
C063,Nokwanda Ndlovu,Female,20,Stellenbosch,South Africa
C064,Kagiso Singh,Male,32,Centurion,South Africa
C065,Helena Steyn,Female,24,Pietermaritzburg,South Africa
C066,Nomvula Radebe,Female,47,Midrand,South Africa
C067,Sbongile Nkosi,Female,62,Midrand,South Africa
C068,Elsie Mokoena,Female,36,Pretoria,South Africa
C069,Nkosinathi Moloi,Male,37,Nelspruit,South Africa
C070,Lungelo van der Merwe,Male,62,Kimberley,South Africa
C071,Fatima Mkhize,Female,25,Nelspruit,South Africa
C072,Zanele Nkosi,Female,40,Port Elizabeth,South Africa
C073,Jennifer Taylor,Female,55,Paarl,South Africa
C074,Themba Ndlovu,Male,63,Port Elizabeth,South Africa
C075,Sifiso Shabalala,Male,55,Port Elizabeth,South Africa
C076,Helena Dlamini,Female,38,Rustenburg,South Africa
C077,Nhlanhla van der Merwe,Male,63,Stellenbosch,South Africa
C078,Nhlanhla Moodley,Male,45,Boksburg,South Africa
C079,Rajesh Radebe,Male,30,Bloemfontein,South Africa
C080,James de Villiers,Male,46,Bloemfontein,South Africa
C081,Jennifer Cele,Female,44,Cape Town,South Africa
C082,Sunita Gcaleka,Female,49,Rustenburg,South Africa
C083,Sunita Botha,Female,20,Rustenburg,South Africa
C084,Busisiwe Smit,Female,24,Rustenburg,South Africa
C085,Ntombi Jones,Female,62,Pretoria,South Africa
C086,Nomsa Modise,Female,35,Bloemfontein,South Africa
C087,Zanele Cele,Female,58,Paarl,South Africa
C088,Nokwanda Brown,Female,57,Centurion,South Africa
C089,Musa Sithole,Male,31,Kimberley,South Africa
C090,Sanele Nkosi,Male,52,Midrand,South Africa
C091,Sifiso Brown,Male,23,Polokwane,South Africa
C092,Maria Joubert,Female,52,Nelspruit,South Africa
C093,Nokwanda Jones,Female,63,Nelspruit,South Africa
C094,Robert Williams,Male,62,George,South Africa
C095,Buyani Joubert,Male,44,Midrand,South Africa
C096,Yusuf Pretorius,Male,32,Paarl,South Africa
C097,Zodwa Taylor,Female,48,Rustenburg,South Africa
C098,Jennifer Ngcobo,Female,38,Centurion,South Africa
C099,Naledi Coetzee,Female,62,Rustenburg,South Africa
C100,Robert Moloi,Male,20,Johannesburg,South Africa
C101,Lethiwe Zwane,Male,23,Boksburg,South Africa
C102,Nokufa Gcaleka,Female,65,George,South Africa
C103,Ntombifikile Coetzee,Female,28,Polokwane,South Africa
C104,Sanele Botha,Male,31,Centurion,South Africa
C105,Thandeka Moodley,Female,34,Pretoria,South Africa
C106,Helena Anderson,Female,62,Centurion,South Africa
C107,Simangele Zwane,Female,65,East London,South Africa
C108,Lungile Taylor,Female,30,Sandton,South Africa
C109,Fatima Coetzee,Female,60,Kimberley,South Africa
C110,Ayesha Smit,Female,47,Durban,South Africa
C111,Ayesha Smit,Female,40,Polokwane,South Africa
C112,Johan Moloi,Male,33,George,South Africa
C113,Michael Ndlovu,Male,46,Midrand,South Africa
C114,Nozipho Anderson,Female,46,Cape Town,South Africa
C115,Njabulo Smith,Male,57,Johannesburg,South Africa
C116,Nokuthula Nkosi,Female,41,Port Elizabeth,South Africa
C117,Lindiwe Singh,Female,67,Midrand,South Africa
C118,Lwazi Botha,Male,36,Pretoria,South Africa
C119,Nomsa Smith,Female,40,Johannesburg,South Africa
C120,Phiwayinkosi Mokoena,Male,59,Midrand,South Africa
C121,Sibusiso Shabalala,Male,55,Johannesburg,South Africa
C122,Sanele Mokoena,Male,49,Bloemfontein,South Africa
C123,Sanjay Smith,Male,39,East London,South Africa
C124,Nokwanda de Villiers,Female,43,Kimberley,South Africa
C125,Fatima Ngcobo,Female,50,Polokwane,South Africa
C126,Nhlanhla Botha,Male,61,Durban,South Africa
C127,Sipho Coetzee,Male,31,Durban,South Africa
C128,Rajesh Mokoena,Male,50,Pretoria,South Africa
C129,Phiwayinkosi Fourie,Male,43,Bloemfontein,South Africa
C130,Francois Joubert,Male,26,Boksburg,South Africa
C131,Yusuf Sithole,Male,63,Pretoria,South Africa
C132,Priya Ndlovu,Female,56,Pietermaritzburg,South Africa
C133,Yusuf Mthembu,Male,27,Benoni,South Africa
C134,Nhlanhla Singh,Male,47,Bloemfontein,South Africa
C135,Sakhile Khoza,Male,41,Rustenburg,South Africa
C136,Noxolo Cele,Female,47,Rustenburg,South Africa
C137,Patricia Brown,Female,30,George,South Africa
C138,Nozipho Naidoo,Female,48,Paarl,South Africa
C139,Nokwanda Coetzee,Female,24,Kimberley,South Africa
C140,Ayesha Anderson,Female,56,Boksburg,South Africa
C141,Busisiwe Zulu,Female,51,Centurion,South Africa
C142,Lwazi van der Merwe,Male,42,Pretoria,South Africa
C143,Zainab Mthembu,Female,63,Kimberley,South Africa
C144,Thandolwethu Gcaleka,Male,25,Pietermaritzburg,South Africa
C145,Noxolo Moodley,Female,34,Port Elizabeth,South Africa
C146,Simangele Zulu,Female,25,Nelspruit,South Africa
C147,Sibusiso Coetzee,Male,39,Benoni,South Africa
C148,Nokuthula Moodley,Female,53,Rustenburg,South Africa
C149,Lungile de Villiers,Female,41,Port Elizabeth,South Africa
C150,Thandi Fourie,Female,33,Pretoria,South Africa
C151,Andile Modise,Male,67,Midrand,South Africa
C152,Robert van der Merwe,Male,66,Benoni,South Africa
C153,Nobuhle Pillay,Female,58,Nelspruit,South Africa
C154,Robert Pretorius,Male,34,Rustenburg,South Africa
C155,Yusuf Nkosi,Male,65,Midrand,South Africa
C156,Amit Dlamini,Male,22,Port Elizabeth,South Africa
